YEAR,PERSONEL_COMMERCIAL,KARA_LISTE_KONTROL,KULLANIM_SEKLI,MARKA,TIP_GRUP,EGM_KULLANIM_SEKLI,MOTOR_GUCU,SILINDIR_HACMI,PLAKA_IL_KODU,ARAC_BEDELI,HASARSIZLIK_INDIRIMI,MEDENI_DURUM,ONCEKI_ŞIRKET,ARAC_YASI,ONCEKI_KASKO_POLICESI_VAR_MI,UYGULANAN_BASAMAK_KODU,ONCEKI_POLICE_BASAMAK_KODU,ONCEKI_POLICE_BASLANGIC_TARIHI,ONCEKI_POLICE_BITIS_TARIHI,PAKET_TIPI,EGM_CINSI,EGM_CINSI,ORJINAL_OLMAYAN_PARCA_VARMI,IKAMET_IL_KODU,ALT_KULLANIM_SEKLI,TCK_PLAKA_SORGU,CLAIM_EXPERIENCE,PERT_SORGU,ARAC_TARIFE_GRUP_KODU,IHALE_FILO_KODU,ARAC_ALT_CINS,ARAC_UST_CINS_ID,SEGMENT,AGIRLIK,ARAC_TIPI,YAKIT_TIPI,LPG_VAR_MI,MESLEK,HASAR_VAR_MI
2019,O,1,1,#N/A,1BD5FBDF,4R561446512,110,1598,34,133506,1,E,25,5,E,0,0,5/10/2018 0:00,5/10/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,12,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1345,10,D,H,16,0
2019,O,1,1,BD4DF54H5DF,HG4JKYH,4R561446512,95,1248,75,67470,4,E,11,4,E,0,3,5/11/2018 0:00,5/11/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,75,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1235,10,D,H,4,0
2019,O,1,1,DF5H45DF4H5DF,KJH4,4R561446512,90,1461,34,119564,1,E,17,2,E,0,0,2/23/2018 0:00,2/23/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,78,100,1,0,,1,9999999,DF4H,4,G,1288,40,D,H,45,0
2019,O,1,1,#N/A,1BD5FBDF,4R561446512,110,1598,34,165301,2,B,4,3,E,0,1,5/22/2018 0:00,5/22/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1345,10,D,H,9,1
2019,O,1,1,M4GH54J5GH,FDG4SDFF,4R561446512,90,1364,34,79151,1,E,104,6,E,0,0,5/16/2018 0:00,5/16/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,NFD4HFDHDFHFD,4,C,1270,10,D,H,40,0
2019,O,1,1,XC5B4XC5B4SFD,DS4GR8HYRT,4R561446512,86,1390,9,58364,1,D,104,8,E,0,0,5/9/2018 0:00,5/9/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,20,100,1,0,,1,9999999,DF4H,4,B,1068,10,L,E,40,0
2019,O,1,1,#N/A,W45EW,4R561446512,109,1560,32,61212,1,E,26,8,E,0,0,4/28/2018 0:00,4/28/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,0,0,,1,9999999,144RH5ER64HRE+,4,C,1333,10,D,H,45,1
2019,O,1,1,XC4B5VCX45B4XC,1BD5FBDF,4R561446512,122,1395,6,109980,0,E,,6,H,0,999,,999,1,OTOMOBİL,SD4G54DS5G4DS,H,6,100,0,T,,1,9999999,5H4DF56H4DF,4,C,1250,10,O,H,43,0
2019,O,1,1,#N/A,RF4WE,4R561446512,105,1598,6,69254,0,B,,7,H,0,999,,999,1,OTOMOBİL,SD4G54DS5G4DS,H,38,100,0,X,,1,9999999,NFD4HFDHDFHFD,4,C,1365,10,D,H,4,0
2019,O,1,1,DF5H45DF4H5DF,SDV15FDSGFD,4R561446512,110,1461,6,69695,1,E,104,8,E,0,0,5/4/2018 0:00,5/4/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,6,100,0,0,,1,9999999,144RH5ER64HRE+,4,E,1425,10,D,H,45,0
2019,O,1,1,#N/A,4ESW85G,4R561446512,128,1582,34,77536,4,C,63,5,E,0,3,5/23/2018 0:00,5/23/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1210,10,D,H,3,1
2019,O,1,1,45YH4ER5H4R5,MG1H5W,4R561446512,75,1248,31,55851,1,E,54,7,E,0,0,5/8/2018 0:00,5/8/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,31,100,1,0,,1,9999999,NFD4HFDHDFHFD,4,B,1205,10,D,H,3,0
2019,O,1,1,#N/A,1MGH5M,4R561446512,105,1598,34,111354,1,E,63,5,E,0,0,5/25/2018 0:00,5/25/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1395,10,D,H,3,0
2019,O,1,1,4GH53445,M1GH5M1GH35M,4R561446512,105,0,34,52637,2,C,110,6,E,0,1,5/21/2018 0:00,5/21/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,45,100,1,0,,1,9999999,DF4H,4,B,1089,10,O,H,3,0
2019,O,1,1,#N/A,W45EW,4R561446512,109,1560,6,41080,2,E,11,14,E,0,1,5/22/2018 0:00,5/22/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,6,100,1,0,,1,9999999,#N/A,4,G,1392,10,D,H,18,0
2019,O,1,1,#N/A,M1GH5M1GH23,4R561446512,92,1560,34,63970,2,E,51,6,E,0,1,5/30/2018 0:00,5/30/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,DF4H,4,C,1280,10,D,H,45,0
2019,O,1,1,#N/A,HTR48H7RT8SD,4R561446512,92,1560,34,59010,1,E,57,6,E,0,0,5/10/2018 0:00,5/10/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,144RH5ER64HRE+,4,B,1090,10,D,H,3,0
2019,O,1,1,F4Q5F4A5SF,SDF4NGFN2V1,4R561446512,75,1248,16,51531,2,E,63,7,E,0,1,5/17/2018 0:00,5/17/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,16,100,1,0,,1,9999999,NFD4HFDHDFHFD,4,B,1090,10,D,H,44,0
2019,O,1,1,BD4DF54H5DF,HG4JKYH,4R561446512,95,1248,34,54779,5,E,104,6,E,0,4,5/17/2018 0:00,5/17/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1235,10,D,H,40,0
2019,O,1,1,DF5H45DF4H5DF,SDV15FDSGFD,4R561446512,110,1461,35,89733,3,E,104,6,E,0,2,5/15/2018 0:00,5/15/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,35,100,1,0,,1,9999999,144RH5ER64HRE+,4,E,1525,10,D,H,16,0
2019,O,1,1,#N/A,DF54G6FD,#N/A,130,1598,18,181767,0,E,,1,H,0,999,,999,1,,#N/A,H,18,100,0,T,,1,9999999,#N/A,,H,1445,40,D,H,,0
2019,O,1,1,XC5B4XC5B4SFD,1VC5BCV,4R561446512,115,0,34,58476,4,E,45,13,E,0,3,5/21/2018 0:00,5/21/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,144RH5ER64HRE+,4,D,1423,10,O,H,5,1
2019,O,1,1,BD4DF54H5DF,1MG5H6,4R561446512,95,1248,34,76021,2,E,11,3,E,0,1,4/27/2018 0:00,4/27/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,0,0,,1,9999999,144RH5ER64HRE+,4,C,1205,10,D,H,41,1
2019,O,1,1,M4GH54J5GH,CV4B56CV,4R561446512,65,0,34,25059,3,E,110,14,E,0,2,5/10/2018 0:00,5/10/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,DF4H,4,B,915,10,O,H,45,0
2019,O,1,1,SD56G4SD5G4,QW4ER56QW,4R561446512,75,0,34,23217,1,E,9,12,E,0,0,5/24/2018 0:00,5/24/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,#N/A,4,K,925,10,O,H,4,0
2019,O,1,1,4GH53445,M1GH5M1GH35M,4R561446512,85,1499,34,91369,1,E,40,2,E,0,0,5/10/2018 0:00,5/10/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,DF4H,4,B,1158,10,D,H,5,0
2019,O,1,1,H4RT5H4TR5H,XC4B5CB,4R561446512,109,0,5,61744,1,E,45,4,E,0,0,5/14/2018 0:00,5/14/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,5,100,1,0,,1,9999999,NFD4HFDHDFHFD,4,B,1141,10,O,H,41,0
2019,O,1,1,XCV45XCV45CX3,RT4YH58TR,4R561446512,120,0,34,123194,2,D,35,2,E,0,1,5/29/2018 0:00,5/29/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,DF4H,4,H,1150,40,O,H,45,0
2019,T,1,1,JH4TRYJ4YT5,ZDV45SD,4R561446512,73,1398,34,35083,1,,15,10,E,0,0,5/10/2018 0:00,5/10/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,0,100,1,0,,1,9999999,#N/A,4,B,1156,10,O,H,,0
2019,O,1,1,M4GH54J5GH,J4TY5J4TY,4R561446512,122,0,52,170630,2,C,4,2,E,0,1,5/7/2018 0:00,5/7/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,52,100,0,0,,1,9999999,DF4H,4,H,1420,40,O,H,41,0
2019,T,1,1,URT45HRT4H5D,ZSDFSD45FSD,4R561446512,68,1461,80,41872,0,,,7,H,0,999,,999,1,OTOMOBİL,SD4G54DS5G4DS,H,0,100,0,X,,1,9999999,5H4DF56H4DF,4,C,1280,10,D,H,,0
2019,O,1,1,SD45GV4XC5V,WEF1EW,4R561446512,75,1396,6,43346,1,E,17,9,E,0,0,5/14/2018 0:00,5/14/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,6,100,1,0,,1,9999999,DF4H,4,B,1155,10,D,H,4,0
